player,date,league_name,team_name,opponent_name,fantasy_points,min,position,goals,assists,shots,shots_on_goal,crosses,fouls_drawn,fouls_committed,tackles_won,interceptions,yellow_cards,red_cards,penalty_kick_miss,clean_sheet,goals_allowed,accurate_passes,shots_assisted,shootout_goals,shootout_misses,game_started,year,month,day,saves,wins,penalty_kick_saved,shootout_saves,points,is_star_of_match
Artem Dzyuba,2019-06-08,European Championship Qualifiers,Russia,San Marino,73.66,90,F,4,1,16.0,7.0,1.0,1.0,1.0,0.0,0.0,0,0,1,1,0,23.0,3.0,0.0,0.0,1,2019,6,8,0.0,0.0,0.0,0.0,19.0,1
Cristiano Ronaldo,2019-09-10,European Championship Qualifiers,Portugal,Lithuania,56.7,79,F,4,0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,35.0,3.0,0.0,0.0,1,2019,9,10,0.0,0.0,0.0,0.0,18.0,1
Memphis Depay,2019-03-21,European Championship Qualifiers,Netherlands,Belarus,54.0,90,F,2,2,6.0,4.0,6.0,3.0,0.0,1.0,0.0,0,0,0,1,0,40.0,3.0,0.0,0.0,1,2019,3,21,0.0,0.0,0.0,0.0,16.0,1
Denis Cheryshev,2019-10-13,European Championship Qualifiers,Russia,Cyprus,53.32,90,M,2,2,4.0,3.0,13.0,0.0,3.0,1.0,0.0,0,0,0,1,0,36.0,5.0,0.0,0.0,1,2019,10,13,0.0,0.0,0.0,0.0,19.0,1
Cristiano Ronaldo,2019-11-14,European Championship Qualifiers,Portugal,Lithuania,51.8,83,F,3,0,13.0,5.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,40.0,2.0,0.0,0.0,1,2019,11,14,0.0,0.0,0.0,0.0,14.0,1
Toni Kroos,2019-11-16,European Championship Qualifiers,Germany,Belarus,51.76,90,M,2,1,8.0,5.0,4.0,2.0,0.0,1.0,1.0,0,0,0,1,0,123.0,4.0,0.0,0.0,1,2019,11,16,0.0,0.0,0.0,0.0,16.0,1
Mikkel Damsgaard,2021-03-28,European World Cup Qualifiers,Denmark,Moldova,50.42,90,M,2,2,6.0,4.0,4.0,1.0,3.0,1.0,1.0,0,0,0,1,0,31.0,4.0,0.0,0.0,1,2021,3,28,0.0,0.0,0.0,0.0,19.0,1
Christian Eriksen,2019-11-15,European Championship Qualifiers,Denmark,Gibraltar,49.64,90,M,2,0,5.0,2.0,17.0,0.0,0.0,0.0,1.0,0,0,0,1,0,62.0,9.0,0.0,0.0,1,2019,11,15,0.0,0.0,0.0,0.0,13.0,0
Christian Eriksen,2019-09-05,European Championship Qualifiers,Denmark,Gibraltar,47.78,90,M,2,1,4.0,3.0,8.0,0.0,1.0,2.0,0.0,0,0,0,1,0,84.0,6.0,0.0,0.0,1,2019,9,5,0.0,0.0,0.0,0.0,16.0,1
Harry Kane,2019-09-07,European Championship Qualifiers,England,Bulgaria,47.76,77,F,3,1,5.0,4.0,0.0,1.0,1.0,0.0,2.0,0,0,0,1,0,13.0,1.0,0.0,0.0,1,2019,9,7,0.0,0.0,0.0,0.0,17.0,1
Kevin De Bruyne,2019-09-09,European Championship Qualifiers,Belgium,Scotland,46.24,90,M,1,3,4.0,1.0,7.0,0.0,1.0,1.0,0.0,0,0,0,1,0,42.0,7.0,0.0,0.0,1,2019,9,9,0.0,0.0,0.0,0.0,17.0,1
James Forrest,2018-11-20,UEFA Nations League,Scotland,Israel,46.0,90,M,3,0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0,0,0,0,2,25.0,3.0,0.0,0.0,1,2018,11,20,0.0,0.0,0.0,0.0,17.0,1
Kevin De Bruyne,2019-11-19,European Championship Qualifiers,Belgium,Cyprus,45.96,68,M,2,1,5.0,4.0,7.0,0.0,0.0,1.0,1.0,0,0,0,0,1,28.0,4.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,15.0,1
Robert Lewandowski,2019-10-10,European Championship Qualifiers,Poland,Latvia,45.26,90,F,3,0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,0,0,0,1,0,28.0,4.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,14.0,1
Tomas Soucek,2021-03-24,European World Cup Qualifiers,Czech Republic,Estonia,45.18,90,M,3,0,5.0,3.0,2.0,0.0,3.0,3.0,5.0,0,0,0,0,2,89.0,0.0,0.0,0.0,1,2021,3,24,0.0,0.0,0.0,0.0,17.0,1
Ferran Torres,2020-11-17,UEFA Nations League,Spain,Germany,45.02,73,M,3,0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,16.0,2.0,0.0,0.0,1,2020,11,17,0.0,0.0,0.0,0.0,18.0,1
Phil Foden,2020-11-18,UEFA Nations League,England,Iceland,44.34,90,M,2,1,5.0,4.0,6.0,1.0,0.0,0.0,0.0,0,0,0,1,0,57.0,3.0,0.0,0.0,1,2020,11,18,0.0,0.0,0.0,0.0,16.0,1
Gerard Moreno,2019-11-15,European Championship Qualifiers,Spain,Malta,43.94,90,F,1,3,6.0,1.0,0.0,0.0,2.0,1.0,4.0,0,0,0,1,0,47.0,6.0,0.0,0.0,1,2019,11,15,0.0,0.0,0.0,0.0,15.0,1
Denis Cheryshev,2019-03-24,European Championship Qualifiers,Russia,Kazakhstan,43.9,90,M,2,1,5.0,3.0,10.0,1.0,1.0,0.0,1.0,1,0,0,1,0,20.0,3.0,0.0,0.0,1,2019,3,24,0.0,0.0,0.0,0.0,15.0,1
Georginio Wijnaldum,2019-11-19,European Championship Qualifiers,Netherlands,Estonia,43.72,90,M,3,0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,61.0,2.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,18.0,1
Harry Kane,2019-10-14,European Championship Qualifiers,England,Bulgaria,43.7,90,F,1,3,4.0,3.0,2.0,0.0,0.0,1.0,2.0,0,0,0,1,0,15.0,5.0,0.0,0.0,1,2019,10,14,0.0,0.0,0.0,0.0,15.0,0
Serge Gnabry,2019-11-19,European Championship Qualifiers,Germany,Northern Ireland,43.04,80,M,3,0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,42.0,1.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,17.0,1
Cristiano Ronaldo,2019-06-05,UEFA Nations League,Portugal,Switzerland,42.48,90,F,3,0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0,0,0,0,1,29.0,1.0,0.0,0.0,1,2019,6,5,0.0,0.0,0.0,0.0,14.0,1
Hans Vanaken,2021-03-30,European World Cup Qualifiers,Belgium,Belarus,42.48,90,M,2,1,5.0,5.0,0.0,1.0,1.0,2.0,0.0,0,0,0,1,0,99.0,2.0,0.0,0.0,1,2021,3,30,0.0,0.0,0.0,0.0,16.0,1
Loris Benito,2019-11-18,European Championship Qualifiers,Switzerland,Gibraltar,42.1,90,D,1,2,5.0,2.0,6.0,0.0,4.0,2.0,2.0,0,0,0,0,1,45.0,7.0,0.0,0.0,1,2019,11,18,0.0,0.0,0.0,0.0,14.0,1
Memphis Depay,2021-03-30,European World Cup Qualifiers,Netherlands,Gibraltar,41.92,90,F,2,0,7.0,4.0,8.0,0.0,2.0,0.0,0.0,0,0,0,1,0,66.0,5.0,0.0,0.0,1,2021,3,30,0.0,0.0,0.0,0.0,10.0,0
John McGinn,2019-10-13,European Championship Qualifiers,Scotland,San Marino,41.66,70,M,3,0,5.0,4.0,1.0,2.0,1.0,0.0,0.0,0,0,0,1,0,23.0,0.0,0.0,0.0,1,2019,10,13,0.0,0.0,0.0,0.0,18.0,1
Robert Skov,2019-11-15,European Championship Qualifiers,Denmark,Gibraltar,41.62,90,M,2,1,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0,46.0,3.0,0.0,0.0,1,2019,11,15,0.0,0.0,0.0,0.0,16.0,1
Romelu Lukaku,2019-10-10,European Championship Qualifiers,Belgium,San Marino,41.32,76,F,2,1,8.0,4.0,0.0,2.0,2.0,0.0,0.0,0,0,0,1,0,16.0,2.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,13.0,0
Aleksandr Golovin,2019-10-10,European Championship Qualifiers,Russia,Scotland,41.1,90,M,1,2,5.0,2.0,6.0,2.0,1.0,0.0,3.0,0,0,0,1,0,45.0,4.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,14.0,1
Haris Seferovic,2018-11-18,UEFA Nations League,Switzerland,Belgium,40.94,89,F,3,0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,2,12.0,1.0,0.0,0.0,1,2018,11,18,0.0,0.0,0.0,0.0,13.0,1
Memphis Depay,2019-09-09,European Championship Qualifiers,Netherlands,Estonia,40.84,90,F,1,2,8.0,3.0,6.0,1.0,2.0,0.0,0.0,0,0,0,1,0,32.0,3.0,0.0,0.0,1,2019,9,9,0.0,0.0,0.0,0.0,12.0,1
