,name,season,season year,team,rating,goals,bigChancesCreated,bigChancesMissed,assists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,appearances,substitutionsIn,substitutionsOut
0,Robin van Persie,Champions League 13/14,13/14,manchester-united,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
1,Ashley Cole,Champions League 13/14,13/14,chelsea,,0,,,0.0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,0.0,,,,,,5,0.0,1.0
2,José Antonio Reyes,UEFA Champions League 15/16,15/16,sevilla,7.25,0,0.0,1.0,0.0,0.0,58.0,26.0,84.0,69.047619047619,18.0,42.0,27.0,2.0,1.0,50.0,1.0,4.0,1.0,,0.0,2.0,28.571428571429,2.0,0.0,2.0,6.0,60.0,6.0,42.857142857143,12.0,50.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,50.0,1.0,0.0,0.0,2.0,,,,,,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,12.0,8.0,0.0,0.0,0.0,8.0,1.0,,,,0.0,0.0,0.0,23.0,68.0,,2,,
3,Roman Weidenfeller,Champions League 13/14,13/14,borussia-dortmund,,0,,,0.0,0.0,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,0.0,,,,,,9,0.0,0.0
4,Roman Weidenfeller,Champions League 14/15,14/15,borussia-dortmund,,0,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,0.0,,,,,,7,0.0,0.0
5,Roman Weidenfeller,UEFA Champions League 16/17,16/17,borussia-dortmund,6.6,0,0.0,0.0,0.0,0.0,43.0,12.0,55.0,78.181818181818,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,9.0,42.857142857143,4.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,3.0,6.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,,,,0.0,0.0,1.0,41.0,14.0,,2,,
6,Roman Weidenfeller,UEFA Champions League 17/18,17/18,borussia-dortmund,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,66.666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,2.0,1.0,,1,,
7,Sebastian Kehl,Champions League 13/14,13/14,borussia-dortmund,,1,,,0.0,1.0,,,,,,,,,,,,,3.0,0.0,0.0,,,,,,,,,,,,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,422.0,0.0,,,,,,5,0.0,2.0
8,Sebastian Kehl,Champions League 14/15,14/15,borussia-dortmund,,0,,,1.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,0.0,,,,,,4,0.0,1.0
9,Daniel Braaten,Champions League 13/14,13/14,fc-kobenhavn,,1,,,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,330.0,0.0,,,,,,4,0.0,2.0
