player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url
680218,3057,matthieu-epolo,Matthieu Epolo,,Belgium,2005-01-15,Goalkeeper,,Right,0,https://www.transfermarkt.co.uk/matthieu-epolo/profil/spieler/680218
468249,520,vitinho,Vitinho,Brazil,Brazil,1999-07-23,Defender,Right-Back,Right,175,https://www.transfermarkt.co.uk/vitinho/profil/spieler/468249
469718,1184,gerardo-arteaga,Gerardo Arteaga,Mexico,Mexico,1998-09-07,Defender,Left-Back,Left,174,https://www.transfermarkt.co.uk/gerardo-arteaga/profil/spieler/469718
339943,520,ike-ugbo,Ike Ugbo,Lewisham,England,1998-09-21,Attack,Centre-Forward,Right,186,https://www.transfermarkt.co.uk/ike-ugbo/profil/spieler/339943
482072,520,kevin-denkey,Kevin Denkey,Togo,Togo,2000-11-30,Attack,Centre-Forward,Right,181,https://www.transfermarkt.co.uk/kevin-denkey/profil/spieler/482072
258039,1096,aurelio-buta,Aurelio Buta,,Portugal,1997-02-10,Defender,Right-Back,Right,172,https://www.transfermarkt.co.uk/aurelio-buta/profil/spieler/258039
503881,354,aster-vranckx,Aster Vranckx,Belgium,Belgium,2002-10-04,Midfield,Central Midfield,Right,183,https://www.transfermarkt.co.uk/aster-vranckx/profil/spieler/503881
540990,475,jhonny-lucas,Jhonny Lucas,Paranaense,Brazil,2000-02-21,Midfield,Central Midfield,Right,170,https://www.transfermarkt.co.uk/jhonny-lucas/profil/spieler/540990
293281,58,jacob-bruun-larsen,Jacob Bruun Larsen,Denmark,Denmark,1998-09-19,Attack,Left Winger,Right,183,https://www.transfermarkt.co.uk/jacob-bruun-larsen/profil/spieler/293281
151567,3508,erdin-demir,Erdin Demir,Sweden,Sweden,1990-03-27,Defender,Left-Back,Left,178,https://www.transfermarkt.co.uk/erdin-demir/profil/spieler/151567
364370,475,mory-konate,Mory Konate,Guinea,Guinea,1993-11-15,Midfield,Defensive Midfield,Both,191,https://www.transfermarkt.co.uk/mory-konate/profil/spieler/364370
31131,601,timothy-derijck,Timothy Derijck,Belgium,Belgium,1987-05-25,Defender,Centre-Back,Right,185,https://www.transfermarkt.co.uk/timothy-derijck/profil/spieler/31131
64246,354,yannick-thoelen,Yannick Thoelen,Belgium,Belgium,1990-07-18,Goalkeeper,,,188,https://www.transfermarkt.co.uk/yannick-thoelen/profil/spieler/64246
129592,601,julien-de-sart,Julien De Sart,Borgworm(nl.),Belgium,1994-12-23,Midfield,Defensive Midfield,Right,187,https://www.transfermarkt.co.uk/julien-de-sart/profil/spieler/129592
